-29.9	-173.2	1.2
-31.2	-178.8	0.4
-33.1	-187.2	1.7
-35.3	-197.3	2.3
-37.1	-204.8	1.2
-41.4	-223.5	1.9
-42.9	-230.4	2.1
-44.8	-238.2	2.1
-50.7	-264.6	2.3
-52.9	-274.4	2.6
-55.4	-285.1	2.7
-60.8	-308.5	3.3
-63.6	-321.3	3.8
-67.2	-336.9	3.8
-70.5	-351.5	4.6
-78.7	-387.7	5.7
-84.2	-411.9	5.5
-89.8	-436.3	6.1
-222.4	-1019.5	259.4
-224.1	-1026.4	278.5
-163.1	-758.7	313.1
-164.6	-765.4	328.9
-188.7	-870.9	410.1
-187.4	-865.7	424.8
-134.8	-633.9	372.7
-136.9	-643.5	389.9
-137.2	-644.8	403.5
-23.6	-130.9	-0.3
-24.2	-133.4	0.4
-25.3	-137.1	-0.1
-25.9	-139.6	0.7
-27.7	-146.6	0.6
-28.8	-150.5	0.4
-29.6	-153.7	0.9
-30.6	-157.6	0.8
-31.7	-161.6	0.9
-32.6	-164.9	1.7
-34.9	-173.8	1.7
-36.6	-180.2	0.4
-37.5	-183.5	1.6
-38.5	-187.7	2.4
-40.3	-194.2	1.5
-43.4	-205.9	1.6
-46.5	-217.7	2.3
-50.3	-232.3	2.3
-52.8	-241.7	1.5
-54.7	-248.7	2.4
-57.2	-258.3	2.1
-59.8	-267.9	2.2
-62.6	-278.6	2.2
-65.4	-289.3	2.5
-71.7	-313.5	3.2
-74.9	-325.2	4.3
-79.1	-341.7	4.2
-83.5	-358.1	4.6
-88.1	-375.5	5.3
-94.2	-398.7	4.9
-106.7	-446.1	6.4
-114.4	-475.1	7.2
-209.9	-837.1	284.2
-210.8	-840.6	300.1
-192.7	-771.9	354.4
-194.7	-779.6	371.7
-163.3	-660.6	341.9
-165.4	-668.3	357.6
-199.2	-796.6	506.3
-197.9	-791.5	520.8
-192.6	-771.8	526.9
-173.7	-700.1	501.5
-170.2	-686.8	509.1
-166.1	-671.4	547.2
-166.7	-673.4	565.4
-27.1	-131.6	-0.3
-29.2	-138.4	-0.8
-29.8	-140.2	0.8
-31.8	-147.1	0.8
-34.4	-155.6	-0.1
-35.3	-158.9	0.5
-36.5	-162.9	0.6
-37.5	-166.1	1.5
-39.1	-171.6	0.5
-41.6	-179.7	1.6
-43.1	-184.6	1.7
-44.5	-189.5	1.9
-48.2	-201.7	1.2
-51.6	-212.7	2.3
-53.5	-219.4	2.4
-58.1	-234.7	2.1
-60.5	-242.4	2.4
-66.2	-261.5	1.9
-68.9	-270.2	2.6
-71.7	-279.8	3.1
-75.4	-292.2	2.8
-78.9	-303.8	3.3
-82.6	-316.3	3.8
-86.7	-329.7	4.5
-102.3	-381.4	5.7
-109.4	-405.3	5.5
-116.4	-428.3	6.3
-124.8	-456.1	6.8
-291.6	-1011.1	315.3
-290.5	-1007.5	332.9
-230.7	-808.5	331.2
-229.1	-802.9	344.6
-253.9	-885.4	403.8
-249.6	-871.4	415.7
-191.9	-679.6	357.9
-190.3	-674.4	369.1
-181.1	-643.4	381.9
-182.8	-649.2	397.8
-212.2	-747.2	475.8
-213.2	-750.3	493.7
-30.8	-132.1	-0.3
-31.6	-134.5	0.5
-33.1	-138.8	-0.7
-33.9	-141.3	0.3
-34.9	-144.4	0.6
-36.5	-148.9	-0.3
-37.3	-151.4	0.9
-39.9	-159.2	0.9
-41.5	-163.8	0.4
-42.9	-167.8	0.7
-44.3	-171.8	1.1
-49.2	-186.1	1.2
-50.5	-190.3	2.1
-52.7	-196.8	1.5
-54.3	-201.7	2.1
-56.3	-207.5	2.4
-58.9	-214.9	1.8
-60.8	-220.8	2.5
-63.4	-228.3	2.3
-68.8	-244.4	2.4
-74.9	-262.4	2.6
-78.5	-272.9	2.6
-81.7	-282.5	3.3
-85.9	-294.7	3.2
-89.4	-305.2	4.2
-94.5	-320.4	3.9
-99.3	-334.6	4.5
-104.5	-349.8	5.2
-110.6	-367.8	5.6
-117.7	-388.6	5.8
-125.7	-412.2	5.9
-134.3	-437.7	6.4
-143.9	-466.2	7.2
-227.5	-712.9	325.7
-229.7	-719.1	341.4
-231.3	-724.1	357.1
-239.8	-749.2	395.6
-238.2	-744.4	408.5
-211.3	-665.2	388.2
-207.1	-652.7	395.9
-195.6	-618.5	445.9
-195.9	-619.4	460.5
-211.2	-664.8	551.7
-211.6	-665.9	569.4
-34.2	-131.8	0.5
-35.4	-134.8	0.6
-36.8	-138.6	0.1
-43.7	-156.8	-0.1
-44.5	-159.3	1.3
-49.3	-171.7	1.6
-56.8	-191.7	1.8
-58.9	-197.3	1.8
-61.3	-203.7	1.4
-63.5	-209.5	1.8
-66.4	-216.9	1.3
-68.2	-221.9	2.6
-71.4	-230.2	2.1
-74.2	-237.7	2.4
-76.8	-244.5	3.3
-80.9	-255.5	2.3
-91.9	-284.6	3.6
-96.8	-297.7	3.3
-101.4	-309.9	3.8
-118.4	-354.9	5.3
-125.5	-373.6	5.7
-142.1	-417.6	6.8
-261.5	-734.1	342.4
-259.7	-729.3	354.9
-245.3	-691.2	439.7
-239.4	-675.7	446.4
-218.9	-621.1	430.9
-214.7	-610.1	438.2
-212.3	-603.8	448.3
-238.2	-672.5	537.7
-238.2	-672.5	554.3
-38.2	-132.8	-0.1
-39.2	-135.1	0.7
-43.5	-145.5	0.4
-45.1	-149.2	0.2
-46.1	-151.6	1.5
-48.3	-156.8	0.2
-49.3	-159.2	1.7
-51.5	-164.6	0.7
-53.1	-168.4	1.1
-54.8	-172.4	1.6
-58.7	-181.7	1.8
-65.6	-198.4	1.6
-68.2	-204.8	1.3
-75.7	-222.7	2.8
-78.9	-230.1	2.9
-82.3	-238.4	2.8
-98.1	-276.3	3.3
-102.7	-287.4	3.6
-107.4	-298.5	4.2
-113.5	-313.2	3.9
-118.5	-325.3	5.1
-125.8	-342.8	4.9
-132.8	-359.4	5.6
-141.2	-379.7	5.8
-150.8	-402.7	5.9
-160.8	-426.7	6.7
-252.1	-645.6	334.3
-248.7	-637.6	343.9
-248.2	-636.3	356.2
-252.9	-647.6	374.1
-253.4	-648.8	401.6
-252.8	-647.4	414.7
-41.7	-132.2	0.6
-43.4	-135.8	0.1
-45.1	-139.4	-0.2
-46.5	-142.4	0.1
-47.9	-145.4	0.6
-49.8	-149.7	-0.1
-51.2	-152.9	0.5
-54.8	-160.4	0.8
-56.4	-164.2	1.2
-64.6	-181.9	1.9
-67.1	-187.4	1.8
-69.5	-192.9	1.8
-71.7	-197.6	2.5
-74.7	-203.9	2.3
-77.2	-209.5	2.9
-80.9	-217.6	2.1
-83.8	-224.1	2.6
-86.9	-230.6	3.3
-90.6	-238.7	3.3
-94.8	-247.7	3.2
-103.4	-266.9	3.5
-108.5	-277.7	3.6
-113.9	-289.6	3.7
-119.3	-301.4	4.2
-125.5	-315.1	4.5
-131.8	-328.8	5.2
-139.7	-346.1	5.3
-168.4	-408.6	6.3
-283.8	-660.5	433.3
-287.3	-668.4	452.2
-45.6	-132.2	0.7
-47.7	-136.3	-0.4
-48.9	-138.6	0.6
-52.2	-145.3	0.9
-53.9	-148.9	0.8
-56.1	-153.2	0.2
-61.7	-164.4	1.1
-68.2	-177.4	1.8
-75.9	-192.7	2.1
-78.6	-198.1	2.4
-81.8	-204.5	2.3
-84.9	-210.8	2.5
-87.7	-216.3	3.3
-91.7	-224.2	2.9
-95.3	-231.4	3.3
-103.8	-248.5	3.5
-113.6	-268.2	3.7
-119.5	-279.7	3.6
-124.8	-290.5	4.2
-131.1	-303.1	4.6
-137.8	-316.5	5.1
-145.4	-331.7	5.5
-153.9	-348.6	5.9
-164.2	-369.2	5.8
-186.6	-413.9	6.9
-200.4	-441.6	7.4
-333.5	-707.8	424.9
-328.6	-697.8	435.4
-327.2	-695.1	449.3
-49.3	-131.3	1.6
-51.7	-136.1	-0.2
-54.9	-141.9	0.6
-56.9	-145.5	0.5
-58.8	-149.1	0.5
-60.8	-152.7	0.6
-62.4	-155.7	1.5
-65.2	-160.7	0.5
-66.8	-163.8	1.6
-69.2	-168.2	1.6
-72.1	-173.4	1.1
-74.2	-177.2	1.9
-77.3	-183.1	1.2
-85.7	-198.5	2.3
-88.6	-203.9	2.9
-92.4	-210.8	2.6
-96.2	-217.9	2.6
-100.5	-225.7	2.4
-109.1	-241.5	2.8
-118.7	-259.2	3.5
-124.4	-269.7	3.6
-136.9	-292.6	4.2
-143.2	-304.2	5.1
-151.7	-319.9	4.9
-159.9	-334.9	5.6
-180.3	-372.6	6.3
-192.3	-394.6	6.8
-207.5	-422.6	6.5
-57.6	-138.5	0.4
-59.3	-141.3	0.9
-61.7	-145.5	0.2
-63.4	-148.4	0.9
-65.9	-152.6	0.4
-70.6	-160.6	0.5
-72.3	-163.5	1.6
-74.9	-167.9	1.6
-77.5	-172.3	1.8
-80.6	-177.4	1.5
-86.2	-187.1	2.1
-89.8	-193.1	1.9
-92.4	-197.6	2.8
-96.5	-204.4	2.5
-103.7	-216.7	3.4
-108.2	-224.4	3.3
-123.5	-250.2	3.4
-129.1	-259.8	3.7
-135.6	-270.9	3.6
-141.8	-281.4	4.2
-148.9	-293.4	4.6
-156.5	-306.4	5.1
-164.7	-320.1	5.8
-174.8	-337.4	5.9
-184.5	-353.7	6.9
-198.1	-376.9	6.4
-211.4	-399.3	7.1
-227.6	-426.8	7.4
-58.3	-132.2	-0.2
-59.6	-134.4	0.8
-61.8	-137.8	0.6
-63.6	-140.6	1.2
-66.2	-144.7	0.5
-68.1	-147.6	1.3
-70.2	-151.1	1.5
-73.3	-155.9	0.5
-75.2	-158.8	1.6
-80.6	-167.3	1.7
-83.4	-171.7	1.9
-86.6	-176.8	1.8
-89.8	-181.8	1.8
-92.6	-186.2	2.5
-96.4	-192.1	2.3
-100.1	-198.1	2.4
-108.7	-211.5	2.1
-113.1	-218.3	2.4
-122.8	-233.5	2.8
-134.1	-251.3	3.1
-147.4	-272.4	3.3
-154.5	-283.3	3.8
-161.6	-294.4	4.8
-170.7	-308.7	4.9
-179.8	-323.1	5.6
-202.9	-359.4	6.3
-216.8	-381.2	6.6
-61.9	-130.9	0.6
-63.8	-133.7	1.1
-66.4	-137.6	0.2
-68.4	-140.4	0.8
-71.1	-144.4	0.2
-75.4	-150.6	1.3
-78.2	-154.7	1.1
-80.2	-157.6	2.2
-89.8	-171.5	1.5
-96.1	-180.8	2.1
-100.1	-186.6	1.9
-103.1	-190.9	2.8
-107.5	-197.4	2.5
-111.5	-203.2	2.8
-116.5	-210.6	2.4
-120.6	-216.5	3.3
-132.4	-233.7	2.6
-137.6	-241.2	3.4
-144.4	-251.1	3.3
-151.7	-261.8	3.2
-184.6	-309.7	5.2
-194.8	-324.6	5.9
-208.4	-344.3	5.5
-220.9	-362.5	6.4
-236.6	-385.5	6.7
-253.6	-410.2	7.4
-66.4	-130.6	0.1
-68.4	-133.4	0.6
-70.7	-136.6	0.5
-73.2	-139.9	0.5
-75.2	-142.6	1.3
-78.2	-146.6	0.8
-80.7	-149.9	1.2
-86.2	-157.4	1.6
-89.7	-162.2	1.1
-92.2	-165.6	1.9
-95.8	-170.4	1.8
-107.1	-185.8	1.8
-115.5	-197.2	2.1
-120.3	-203.6	2.1
-124.5	-209.3	2.8
-129.3	-215.9	3.3
-135.3	-223.9	3.2
-142.3	-233.4	2.6
-148.3	-241.5	3.1
-155.4	-251.1	3.2
-163.1	-261.6	3.3
-170.3	-271.4	4.2
-179.2	-283.5	4.5
-188.7	-296.3	4.9
-211.3	-326.9	5.7
-225.5	-346.2	5.7
-257.6	-389.6	6.8
-70.9	-130.2	-0.3
-75.1	-135.4	0.8
-77.6	-138.6	0.9
-83.3	-145.7	0.7
-85.4	-148.5	1.7
-91.2	-155.8	2.2
-94.9	-160.4	1.8
-105.5	-173.9	2.1
-109.3	-178.6	2.4
-114.2	-184.9	1.8
-122.5	-195.2	2.8
-127.4	-201.5	2.9
-132.5	-207.9	3.3
-139.1	-216.3	2.6
-152.2	-232.7	2.6
-158.5	-240.6	3.3
-165.9	-250.1	3.6
-193.3	-284.6	4.2
-202.6	-296.4	5.2
-228.7	-329.3	5.5
-243.6	-348.1	5.9
-260.9	-369.9	6.2
-278.4	-391.9	7.4
-77.2	-131.5	0.5
-79.9	-134.6	0.5
-82.5	-137.8	0.6
-84.7	-140.5	1.5
-88.4	-144.8	0.5
-90.2	-146.8	2.3
-97.7	-155.7	1.1
-100.5	-159.1	1.9
-104.4	-163.6	1.8
-108.3	-168.2	1.8
-116.2	-177.5	2.3
s
